Timestamp,How many hours do you study per week on average?,Column 3,How often do you attend your lectures?,Do you study regularly (daily or almost daily)?,When do you usually start studying before an exam?,What is your preferred study method?,How many hours do you sleep per day?,Do you currently have a job?,What is your GPA? (Anonymous)
04/04/2026 21:22,15,,Always (almost every lecture),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Group study, Memorization only",6,Yes (part-time),2.85
04/04/2026 21:27,6,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Memorization only",6,No,2.32
04/04/2026 21:24,9,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",5,Yes (part-time),3.23
04/04/2026 21:26,20,,Always (almost every lecture),"Yes, daily",1–2 weeks before,"Solving problems/practice questions, Watching videos/online lectures",7,No,3.42
04/04/2026 21:34,5,,Always (almost every lecture),Sometimes (2–3 days a week),A few days before,"Reading and summarizing, Watching videos/online lectures",8,Yes (part-time),3.4
04/04/2026 21:35,5,,Often (more than 75%),Sometimes (2–3 days a week),The day before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",12,No,3
04/04/2026 21:36,10,,Sometimes (around 50%),Sometimes (2–3 days a week),A few days before,Reading and summarizing,9,Yes (part-time),2
04/04/2026 21:36,7,,Sometimes (around 50%),Often (4–5 days a week),A few days before,Solving problems/practice questions,8,No,2.8
04/04/2026 21:37,25,,Often (more than 75%),Sometimes (2–3 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",8,Yes (part-time),3.7
04/04/2026 21:37,0,,Sometimes (around 50%),Rarely,A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",10,No,2.01
04/04/2026 21:37,3,,Sometimes (around 50%),Rarely,The day before,"Reading and summarizing, Watching videos/online lectures, Group study",6,Yes (part-time),3.52
04/04/2026 21:37,20,,Often (more than 75%),Often (4–5 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",7,No,2
04/04/2026 21:42,28,,Often (more than 75%),Often (4–5 days a week),A few days before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",6.5,Yes (part-time),3.3
04/04/2026 21:42,10,,Often (more than 75%),Often (4–5 days a week),The day before,"Reading and summarizing, Solving problems/practice questions",7,No,3.1
04/04/2026 21:43,6,,Always (almost every lecture),Sometimes (2–3 days a week),The day before,Solving problems/practice questions,7,No,3.45
04/04/2026 21:55,10,,Sometimes (around 50%),Sometimes (2–3 days a week),1–2 weeks before,"Reading and summarizing, Solving problems/practice questions, Watching videos/online lectures",8,No,2.8
04/04/2026 21:56,2,,Often (more than 75%),Rarely,The day before,Watching videos/online lectures,6,No,2.9
04/04/2026 22:03,16,,Often (more than 75%),Often (4–5 days a week),A few days before,"Solving problems/practice questions, Watching videos/online lectures, Group study",6,No,2.5
